2018-04-13 13:32:22 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (f3ffc393-3d0d-7d48-b637-361baf0b9b96)] -> id: username]
2018-04-13 13:32:22 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (f3ffc393-3d0d-7d48-b637-361baf0b9b96)] -> name: pwd]
2018-04-13 13:32:23 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (f3ffc393-3d0d-7d48-b637-361baf0b9b96)] -> id: loginButton]
2018-04-13 13:32:23 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-13 13:35:25 INFO  TC0002ValidPassword:24 - ====teststart===
2018-04-13 13:35:25 INFO  LoginPage:37 - username provided[[FirefoxDriver: firefox on MAC (491867c8-4215-c547-bfb7-cd7b22430be5)] -> id: username]
2018-04-13 13:35:25 INFO  LoginPage:40 - password provided[[FirefoxDriver: firefox on MAC (491867c8-4215-c547-bfb7-cd7b22430be5)] -> name: pwd]
2018-04-13 13:35:26 INFO  LoginPage:42 - click on login btoon[[FirefoxDriver: firefox on MAC (491867c8-4215-c547-bfb7-cd7b22430be5)] -> id: loginButton]
2018-04-13 13:35:26 INFO  LoginPage:51 - ====after login titile of the page is ===
2018-04-13 13:35:26 INFO  TC0002ValidPassword:27 - ====testend===
2018-04-13 13:58:41 INFO  TC0002ValidPassword:25 - ====teststart===
2018-04-13 13:58:42 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (47084468-03c1-9741-8d5a-aa748bcb4bd1)] -> id: username]
2018-04-13 13:58:42 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (47084468-03c1-9741-8d5a-aa748bcb4bd1)] -> name: pwd]
2018-04-13 13:58:42 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (47084468-03c1-9741-8d5a-aa748bcb4bd1)] -> id: loginButton]
2018-04-13 13:58:42 INFO  LoginPage:55 - ====after login titile of the page is ===
2018-04-13 13:58:45 INFO  TC0002ValidPassword:29 - ====testend===
2018-04-13 14:02:09 INFO  TC0002ValidPassword:25 - ====teststart===
2018-04-13 14:02:10 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (2dfea02a-36cd-e94b-a82c-c74e6a601619)] -> id: username]
2018-04-13 14:02:10 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (2dfea02a-36cd-e94b-a82c-c74e6a601619)] -> name: pwd]
